	HMDB (*Representative ID)	Metabolite	Method	Pooled QC sample CV	RT	m/z
C18n_QI06	HMDB04705	12.13-diHOME	C18-neg	0.027194334	9.75	313.2387
C18n_QI07	HMDB04704	9.10-diHOME	C18-neg	0.026412656	9.95	313.2387
C18n_QI08	HMDB00535	caproate	C18-neg	0.046835889	5.79	115.0752
C18n_QI09	HMDB00666	heptanoate	C18-neg	0.074082919	7.43	129.0909
C18n_QI10	HMDB00764	hydrocinnamate	C18-neg	0.024137633	5.81	149.0597
C18n_QI11	HMDB00703	mandelate	C18-neg	0.033913329	1.84	151.039
C18n_TF1	HMDB00711*	2-hydroxyoctanoate	C18-neg	0.16606771	6.37	159.1027
C18n_QI12	HMDB01954	3-hydroxyoctanoate	C18-neg	0.073139613	5.47	159.1016
C18n_QI13	HMDB00511	caprate	C18-neg	0.053002418	10.55	171.1381
C18n_QI14	HMDB00197	indoleacetate	C18-neg	0.031381142	3.81	174.0552
C18n_TF2	HMDB02203	3-hydroxydecanoate	C18-neg	0.100077073	8.12	187.134
C18n_QI15	HMDB00638	dodecanoate	C18-neg	0.025840803	12.18	199.1697
C18n_QI16	HMDB00888	undecanedionate	C18-neg	0.026132651	6.79	215.1284
C18n_QI17	HMDB02000	myristoleate	C18-neg	0.046632622	12.55	225.1855
C18n_QI18	HMDB00806	myristate	C18-neg	0.026548624	13.61	227.2013
C18n_TF3	HMDB00623	dodecanedioate	C18-neg	0.088785966	7.62	229.1445
C18n_TF4	HMDB00826	pentadecanoate	C18-neg	0.039288261	14.23	241.2173
C18n_QI19	HMDB02261	hydroxymyristate	C18-neg	0.030602997	12.11	243.1964
C18n_QI20	HMDB03229	palmitoleate	C18-neg	0.027099407	13.82	253.2174
C18n_QI21	HMDB00220	palmitate	C18-neg	0.039758169	14.78	255.2331
C18n_QI22	HMDB00872	tetradecanedioate	C18-neg	0.053440476	9.05	257.1758
C18n_QI23	HMDB60038	10-heptadecenoate	C18-neg	0.041830109	14.38	267.233
C18n_QI25	HMDB62548	2-hydroxyhexadecanoate	C18-neg	0.030819125	13.54	271.228
C18n_QI26	HMDB01388	alpha-linolenate	C18-neg	0.017526872	13.36	277.2175
C18n_QI27	HMDB00673	linoleate	C18-neg	0.028062026	14.1	279.2333
C18n_QI28	HMDB00207	oleate	C18-neg	0.038589988	14.9	281.249
C18n_QI29	HMDB00827	stearate	C18-neg	0.147462217	15.73	283.2644
C18n_QI30	HMDB00672	hexadecanedioate	C18-neg	0.058184789	10.39	285.2071
C18n_QI31	HMDB13622	10-nonadecenoate	C18-neg	0.129245942	15.37	295.2643
C18n_QI32	HMDB00772	nonadecanoate	C18-neg	0.114882289	16.19	297.28
C18n_QI33	HMDB61710	17-methylstearate	C18-neg	0.193605402	16.04	297.28
C18n_QI34	HMDB01999	eicosapentaenoate	C18-neg	0.017738161	13.23	301.2175
C18n_QI35	HMDB01043	arachidonate	C18-neg	0.026220507	13.93	303.2333
C18n_QI36	HMDB02925	eicosatrienoate	C18-neg	0.044704274	14.41	305.2489
C18n_QI37	HMDB05060	eicosadienoate	C18-neg	0.079573351	15.05	307.2644
C18n_QI38	HMDB02231	eicosenoate	C18-neg	0.171765576	15.78	309.2801
C18n_QI39	HMDB02212	arachidate	C18-neg	0.118834274	16.63	311.2958
C18n_QI40	HMDB00801	phytanate	C18-neg	0.211783948	16	311.2958
C18n_QI41	HMDB02183	docosahexaenoate	C18-neg	0.026863324	13.71	327.2336
C18n_QI42	HMDB01976	docosapentaenoate	C18-neg	0.027831612	14.08	329.2487
C18n_QI43	HMDB02226	adrenate	C18-neg	0.033543453	14.7	331.2645
C18n_QI44	HMDB02068	13-docosenoate	C18-neg	0.112808691	16.62	337.3115
C18n_QI45	NA	eicosanedioate	C18-neg	0.075418923	12.91	341.27
C18n_QI46	HMDB02364	oleanate	C18-neg	0.029696841	13.5	455.3534
C18n_QI47	HMDB02392	masilinate	C18-neg	0.024128556	11.38	471.3481
C18n_QI48	HMDB00761	lithocholate	C18-neg	0.018583315	11.98	375.2905
C18n_QI49	HMDB00518	chenodeoxycholate	C18-neg	0.022652797	10.12	391.2855
C18n_QI50	HMDB00626	deoxycholate	C18-neg	0.015982545	10.32	391.2857
C18n_QI51	HMDB00733*	hyodeoxycholate/ursodeoxycholate	C18-neg	0.023854592	8.85	391.2855
C18n_QI52	HMDB00391	ketodeoxycholate	C18-neg	0.02786767	7.97	405.2648
C18n_QI53	HMDB00506	alpha-muricholate	C18-neg	0.032195325	7.74	407.2804
C18n_QI54	HMDB00619	cholate	C18-neg	0.026841388	8.73	407.2804
C18n_QI55	HMDB00698	glycolithocholate	C18-neg	0.029194015	10.45	432.3119
C18n_QI56	HMDB00637	glycochenodeoxycholate	C18-neg	0.01930499	8.84	448.307
C18n_QI57	HMDB00631	glycodeoxycholate	C18-neg	0.017564641	9.08	448.3074
C18n_QI58	HMDB00708	glycoursodeoxycholate	C18-neg	0.03135902	7.69	448.3071
C18n_QI59	HMDB00138	glycocholate	C18-neg	0.020988457	7.74	464.3021
C18n_QI60	HMDB00722	taurolithocholate	C18-neg	0.014963438	9.65	482.295
C18n_QI61	HMDB00951	taurochenodeoxycholate	C18-neg	0.020500688	8.12	498.2899
C18n_QI62	HMDB00896	taurodeoxycholate	C18-neg	0.022760322	8.39	498.29
C18n_QI63	HMDB00874*	taurohyodeoxycholate/tauroursodeoxycholate	C18-neg	0.022425484	7.06	498.29
C18n_QI64	HMDB00932*	tauro-alpha-muricholate/tauro-beta-muricholate	C18-neg	0.023191657	6.15	514.2844
C18n_QI65	HMDB00036	taurocholate	C18-neg	0.020577833	7.18	514.2845
C18n_QI66	HMDB01895	salicylate	C18-neg	0.013075047	2.84	137.0233
C18n_TF5	HMDB01889	theophylline	C18-neg	0.196510036	0.92	179.0574
C18n_QI67	HMDB29723	saccharin	C18-neg	0.02076906	0.99	181.9909
C18n_QI68	HMDB00784	azelate	C18-neg	0.012232628	3.67	187.0968
C18n_QI69	HMDB00792	sebacate	C18-neg	0.024412179	5.75	201.1126
C18n_TF6	NA	2-hydroxyibuprofen	C18-neg	0.079426006	5.83	221.1183
C18n_QI70	NA	carboxyibuprofen	C18-neg	0.029964712	6.03	235.0973
C18n_QI71	HMDB01928	hydrochlorothiazide	C18-neg	0.045772628	1.26	295.9574
C18n_TF7	HMDB01933	furosemide	C18-neg	0.217008294	6.32	329.0004
C18n_QI72	HMDB05032	cetrizine	C18-neg	0.10261445	7.31	387.1481
C18n_QI73	HMDB14420	olmesartan	C18-neg	0.058460809	4.98	445.2
C18n_QI74	HMDB35665	1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate	C18-neg	0.065813249	1.07	259.0724
C18n_QI77	HMDB04072	4-hydroxystyrene	C18-neg	0.026569664	2.16	119.049
C18n_QI78	HMDB00866	acetytyrosine	C18-neg	0.054256532	1	222.0768
C18n_QI79	HMDB01518	alpha-CEHC	C18-neg	0.093190922	7.69	277.1442
C18n_QI80	HMDB02121	carnosol	C18-neg	0.032129166	10.37	329.1759
C18n_QI4788	NA	carnosol_isomer	C18-neg	0.181366916	10.67	329.1766
C18n_QI81	HMDB30180	crustecdysone	C18-neg	0.07188607	2.28	525.3071
C18n_QI83	HMDB00786	oxypurinol	C18-neg	0.019187572	0.72	151.0253
C18n_QI84	HMDB02100	palmitoylethanolamide	C18-neg	0.036703857	13.3	344.2808
C18n_QI85	HMDB00779	phenyllactate	C18-neg	0.019404433	2.16	165.0547
C18n_QI86	HMDB00020	p-hydroxyphenylacetate	C18-neg	0.017897292	1.29	151.039
C18n_TF8	HMDB00245	porphobilinogen	C18-neg	0.050196241	0.88	225.0881
C18n_QI88	HMDB04159	urobilin	C18-neg	0.031482405	6.09	593.334
C18n_QI89	HMDB02368	nervonic acid	C18-neg	0.170399248	17.54	365.3424
C18n_QI90	HMDB33585	acesulfame	C18-neg	0.035443279	0.94	161.9856
C18n_QI91	HMDB15070	oxymetazoline	C18-neg	0.027091787	5.83	259.1817
C18n_QI92	HMDB06219	13-cis-retinoic acid	C18-neg	0.094230211	13.59	299.2016
C18n_QI2555			C18-neg	0.277483126	0.31	255.2329
C18n_QI141			C18-neg	0.340924781	0.33	94.9794
C18n_QI157			C18-neg	0.059534048	0.33	96.9587
C18n_QI189			C18-neg	0.439236511	0.33	103.9191
C18n_QI213			C18-neg	0.221768894	0.33	108.0304
C18n_QI239			C18-neg	0.409187639	0.33	111.0075
C18n_QI383			C18-neg	0.295086703	0.33	123.0077
C18n_QI395			C18-neg	0.417556905	0.33	124.0255
C18n_QI485			C18-neg	0.386251209	0.33	134.0237
C18n_QI782			C18-neg	0.503446696	0.33	156.9957
C18n_QI855			C18-neg	0.255591787	0.33	162.8924
C18n_QI1070			C18-neg	0.567482074	0.33	180.912
C18n_QI159			C18-neg	0.160530586	0.34	96.9681
C18n_QI367			C18-neg	0.616906335	0.34	122.0317
C18n_QI447			C18-neg	0.236267172	0.34	129.9746
C18n_QI649			C18-neg	0.132171469	0.34	146.9645
C18n_QI216			C18-neg	0.246048917	0.35	108.0443
C18n_QI404			C18-neg	0.17050603	0.35	124.0393
C18n_QI2502			C18-neg	0.399057617	0.35	254.9172
C18n_QI821			C18-neg	0.065414457	0.36	159.8928
C18n_QI423			C18-neg	0.208472827	0.37	127.0138
C18n_QI436			C18-neg	0.160362481	0.37	129.0182
C18n_QI516			C18-neg	0.135404039	0.37	136.0393
C18n_QI1122			C18-neg	0.060145868	0.37	183.9125
C18n_QI1540			C18-neg	0.059348835	0.37	207.9309
C18n_QI1894			C18-neg	0.103157466	0.37	228.0698
C18n_QI247			C18-neg	0.429268329	0.38	113.0231
C18n_QI418			C18-neg	0.402936739	0.38	126.0185
C18n_QI502			C18-neg	0.301537162	0.38	135.044
C18n_QI1011			C18-neg	0.097939632	0.38	175.9606
C18n_QI1268			C18-neg	0.051941645	0.38	188.9711
C18n_QI412			C18-neg	0.25570275	0.39	125.0345
C18n_QI4455			C18-neg	0.072321382	0.41	318.9301
C18n_QI177			C18-neg	0.405210021	0.42	101.0231
C18n_QI547			C18-neg	0.19257878	0.42	138.0185
C18n_QI280			C18-neg	0.529880911	0.43	115.0389
C18n_QI532			C18-neg	0.176096572	0.43	137.0233
C18n_QI442			C18-neg	0.374752603	0.44	129.0546
C18n_QI448			C18-neg	0.057324425	0.44	129.9748
C18n_QI572			C18-neg	0.390563686	0.44	140.0342
C18n_QI797			C18-neg	0.460327829	0.44	157.086
C18n_QI184			C18-neg	0.078282954	0.45	102.9555
C18n_QI672			C18-neg	0.132648443	0.45	148.0605
C18n_QI773			C18-neg	0.11271938	0.45	154.9951
C18n_QI120			C18-neg	0.286112505	0.46	87.0073
C18n_QI677			C18-neg	0.12730798	0.46	148.9663
C18n_QI1049			C18-neg	0.048563831	0.46	179.9355
C18n_QI6330			C18-neg	0.110667253	0.46	378.9188
C18n_QI187			C18-neg	0.080654963	0.47	103.919
C18n_QI10625			C18-neg	0.113840893	0.47	514.8933
C18n_QI245			C18-neg	0.051243212	0.48	112.9844
C18n_QI647			C18-neg	0.051414943	0.48	146.9601
C18n_QI98			C18-neg	0.184933706	0.49	75.0073
C18n_QI999			C18-neg	0.049695295	0.49	174.9552
C18n_QI1077			C18-neg	0.075977679	0.49	180.9723
C18n_QI2122			C18-neg	0.08863221	0.49	239.9032
C18n_QI2215			C18-neg	0.081526716	0.49	242.9435
