Species	Metabolite	r	P	P.adjust
Clostridium bolteae	guanidoacetic acid	-0.6659844683850142	3.2424254547573104e-07	0.0008938748217248
Faecalibacterium prausnitzii	porphobilinogen	-0.6657409724902874	3.286304491635584e-07	0.0008938748217248
Clostridium asparagiforme	acetylcholine	0.6418454563226632	1.1606605683223137e-06	0.0021046644972244
Clostridium symbiosum	chenodeoxycholate	-0.6164414004117887	3.961407791680565e-06	0.0053875145966855
Faecalibacterium prausnitzii	putrescine	-0.6092201661967492	5.507757825011946e-06	0.0055923109293399
Clostridium bolteae	betaine	-0.6065657721734325	6.2044282481168205e-06	0.0055923109293399
Clostridium symbiosum	ascorbate	0.602159526090056	7.542983572417228e-06	0.0055923109293399
Eubacterium hallii	serotonin	-0.597266462653396	9.338737509772224e-06	0.0055923109293399
Roseburia hominis	C3-DC-CH3 carnitine	-0.5955101915150418	1.0074105184264736e-05	0.0055923109293399
Clostridium asparagiforme	C12:1 carnitine	-0.5950396862648862	1.0279983325992585e-05	0.0055923109293399
Clostridium symbiosum	9.10-diHOME	-0.590138948535931	1.266743073136129e-05	0.0062371630464975
Clostridium asparagiforme	imidazolelactate	-0.5881778122882807	1.3758447896685663e-05	0.0062371630464975
Faecalibacterium prausnitzii	cadaverine	-0.585013509403	1.57026579562887e-05	0.0065277580033532
Roseburia hominis	linoleoyl ethanolamide	-0.5821681542323471	1.766363765147597e-05	0.0065277580033532
Clostridium bolteae	homocitrulline	0.5817104557780719	1.799933272983445e-05	0.0065277580033532
Clostridium asparagiforme	lithocholate	0.5663753318993122	3.3283795670246974e-05	0.0102928533402318
Clostridium bolteae	methylimidazole acetic acid	0.5659576431868191	3.383138148116416e-05	0.0102928533402318
Faecalibacterium prausnitzii	eicosadienoate	-0.565787169557247	3.405723531694347e-05	0.0102928533402318
Faecalibacterium prausnitzii	10-nonadecenoate	-0.5643973136647829	3.595084874066509e-05	0.0102932956394325
Clostridium asparagiforme	caffeine	0.5609247118020704	4.111167997722376e-05	0.0111823769538048
Clostridium asparagiforme	4-hydroxybenzaldehyde	0.5593873574156687	4.360621033172585e-05	0.0112960849621232
Faecalibacterium prausnitzii	eicosatrienoate	-0.5573322128780904	4.715754386377695e-05	0.0115824127318606
Clostridium asparagiforme	C10 carnitine	-0.5563375361590078	4.896975971191085e-05	0.0115824127318606
Roseburia hominis	alpha-glycerophosphocholine	-0.5548451740013007	5.180852051352998e-05	0.0117432646497334
Eubacterium hallii	C3-DC-CH3 carnitine	-0.553096040482586	5.532696453171323e-05	0.0120391474821007
Clostridium asparagiforme	C9 carnitine	-0.5456795050544941	7.280794965548413e-05	0.015233663312532
Parabacteroides unclassified	sphinganine	0.539831586503944	8.999979751744824e-05	0.0178354254058773
Faecalibacterium prausnitzii	C16:1 LPE	-0.5392796762237713	9.179998370672143e-05	0.0178354254058773
Roseburia hominis	linoleoylethanolamide	-0.5372354783025188	9.875741228862538e-05	0.0185255283741421
Faecalibacterium prausnitzii	adrenate	-0.5340521266793173	0.0001105534750906	0.0197733700131513
Clostridium asparagiforme	C4 carnitine	-0.5335116583461016	0.0001126791305896	0.0197733700131513
Eubacterium hallii	inosine	0.5320434845520255	0.0001186427177561	0.0201692620185522
Clostridium asparagiforme	1-methylguanine	-0.5291294279014923	0.0001313385201636	0.0216509560512221
Roseburia hominis	threonine	-0.5273125545357449	0.0001398674401179	0.0220290423057963
Eubacterium hallii	C10:2 carnitine	-0.5269290302888621	0.0001417309707174	0.0220290423057963
Dorea longicatena	NH4_C18:3 CE	0.5206047641101653	0.0001759001788288	0.0265804714674702
Faecalibacterium prausnitzii	N-acetylputrescine	-0.5187637118622127	0.0001871663236742	0.0271551162944157
Roseburia hominis	C9 carnitine	-0.518365688228116	0.0001896864741154	0.0271551162944157
Faecalibacterium prausnitzii	C18:1 carnitine	-0.5167947493478885	0.0001999366240637	0.0278885957668453
Clostridium asparagiforme	C14:2 carnitine	-0.5126613269176153	0.0002293516864367	0.0310719141599726
Faecalibacterium prausnitzii	C14 carnitine	-0.5109469478933351	0.000242662650777	0.0310719141599726
Clostridium asparagiforme	cholate	-0.5099124980714722	0.0002510291352946	0.0310719141599726
Clostridium asparagiforme	C12 carnitine	-0.5086619705645711	0.0002614915744595	0.0310719141599726
Clostridium symbiosum	crustecdysone	0.5080789267329688	0.0002665031999995	0.0310719141599726
Clostridium symbiosum	C16:1 LPC	-0.5077801399472722	0.0002691050116972	0.0310719141599726
Clostridium asparagiforme	C5 carnitine	-0.5073110570506307	0.0002732361596557	0.0310719141599726
Faecalibacterium prausnitzii	C18:2 carnitine	-0.5072974007493841	0.0002733572840266	0.0310719141599726
Eubacterium hallii	C9 carnitine	-0.5065119067287291	0.00028040654748	0.0310719141599726
